date,team_tag,player_name,metric,period,value
2026-07-26,DFM,ユーリ,video_upload_count,jun_early_2026,0
2026-07-26,DFM,ユーリ,video_upload_count,jun_late_2026,0
2026-07-26,DFM,ユーリ,video_upload_count,may_early_2026,0
2026-07-26,DFM,ユーリ,video_upload_count,may_late_2026,0
2026-07-26,DFM,ユーリ,video_upload_count,regular_season,0
2026-07-26,DFM,ユーリ,video_view_count,jul_early_2026,0
2026-07-26,DFM,ユーリ,video_view_count,jul_late_2026,0
2026-07-26,DFM,ユーリ,video_view_count,jun_early_2026,0
2026-07-26,DFM,ユーリ,video_view_count,jun_late_2026,0
2026-07-26,DFM,ユーリ,video_view_count,may_early_2026,0
2026-07-26,DFM,ユーリ,video_view_count,may_late_2026,0
2026-07-26,DFM,ユーリ,video_view_count,regular_season,0
2026-07-26,DFM,ユーリ,watch_time,jul_early_2026,11134
2026-07-26,DFM,ユーリ,watch_time,jul_late_2026,5715
2026-07-26,DFM,ユーリ,watch_time,jun_early_2026,14677
2026-07-26,DFM,ユーリ,watch_time,jun_late_2026,18125
2026-07-26,DFM,ユーリ,watch_time,may_early_2026,8667
2026-07-26,DFM,ユーリ,watch_time,may_late_2026,11953
2026-07-26,DFM,ユーリ,watch_time,regular_season,16907
2026-07-26,DFM,ユーリ,youtube_subscribers,current,12300
2026-07-26,LVH,Era53,followers,current,12632
2026-07-26,LVH,Era53,stream_duration,apr_late_2026,52.3
2026-07-26,LVH,Era53,stream_duration,jul_early_2026,14.2
2026-07-26,LVH,Era53,stream_duration,jul_late_2026,18.9
2026-07-26,LVH,Era53,stream_duration,jun_early_2026,52.1
2026-07-26,LVH,Era53,stream_duration,jun_late_2026,38.9
2026-07-26,LVH,Era53,stream_duration,may_early_2026,14.4
2026-07-26,LVH,Era53,stream_duration,may_late_2026,67.1
2026-07-26,LVH,Era53,stream_duration,regular_season,28.5
2026-07-26,LVH,Era53,video_upload_count,apr_late_2026,0
2026-07-26,LVH,Era53,video_upload_count,jul_early_2026,0
2026-07-26,LVH,Era53,video_upload_count,jul_late_2026,0
2026-07-26,LVH,Era53,video_upload_count,jun_early_2026,0
2026-07-26,LVH,Era53,video_upload_count,jun_late_2026,0
2026-07-26,LVH,Era53,video_upload_count,may_early_2026,0
2026-07-26,LVH,Era53,video_upload_count,may_late_2026,0
2026-07-26,LVH,Era53,video_upload_count,regular_season,0
2026-07-26,LVH,Era53,video_view_count,jul_early_2026,0
2026-07-26,LVH,Era53,video_view_count,jul_late_2026,0
2026-07-26,LVH,Era53,video_view_count,jun_early_2026,0
2026-07-26,LVH,Era53,video_view_count,jun_late_2026,0
2026-07-26,LVH,Era53,video_view_count,may_early_2026,0
2026-07-26,LVH,Era53,video_view_count,may_late_2026,0
2026-07-26,LVH,Era53,video_view_count,regular_season,0
2026-07-26,LVH,Era53,watch_time,jul_early_2026,23904
2026-07-26,LVH,Era53,watch_time,jul_late_2026,24072
2026-07-26,LVH,Era53,watch_time,jun_early_2026,28528
2026-07-26,LVH,Era53,watch_time,jun_late_2026,34566
2026-07-26,LVH,Era53,watch_time,may_early_2026,12339
2026-07-26,LVH,Era53,watch_time,may_late_2026,54486
2026-07-26,LVH,Era53,watch_time,regular_season,43805
2026-07-26,LVH,Era53,youtube_subscribers,current,15800
2026-07-26,LVH,Hirobosu,followers,current,2898
2026-07-26,LVH,Hirobosu,stream_duration,jul_early_2026,0.0
2026-07-26,LVH,Hirobosu,stream_duration,jul_late_2026,0.0
2026-07-26,LVH,Hirobosu,stream_duration,jun_late_2026,0.0
2026-07-26,LVH,Hirobosu,stream_duration,regular_season,0.0
2026-07-26,LVH,Hirobosu,video_upload_count,jul_early_2026,0
2026-07-26,LVH,Hirobosu,video_upload_count,jul_late_2026,0
2026-07-26,LVH,Hirobosu,video_upload_count,jun_late_2026,0
2026-07-26,LVH,Hirobosu,video_upload_count,regular_season,0
2026-07-26,LVH,Hirobosu,video_view_count,jul_early_2026,0
2026-07-26,LVH,Hirobosu,video_view_count,jul_late_2026,0
2026-07-26,LVH,Hirobosu,video_view_count,regular_season,0
2026-07-26,LVH,Hirobosu,watch_time,jul_early_2026,0
2026-07-26,LVH,Hirobosu,watch_time,jul_late_2026,0
2026-07-26,LVH,Hirobosu,watch_time,regular_season,0
2026-07-26,LVH,Hirobosu,youtube_subscribers,current,446
